date_day,polls_Biden,polls_Trump,google_Biden,google_Trump,donald_trump_love,donald_trump_hate,joe_biden_love,joe_biden_hate
2024-06-01,0.3866828333333333,0.4288338333333332,0.01,0.06,0.3348797661310527,0.6651202363718767,0.4460929905374844,0.553907013010411
2024-06-02,0.3870521111111111,0.42862,0.01,0.05,0.3740416892185251,0.6259583108913824,0.4574514293701064,0.5425485662203662
2024-06-03,0.3855196666666667,0.430077888888889,0.01,0.035,0.2783646746115251,0.7216353267431259,0.5221034458705357,0.4778965498719896
2024-06-04,0.3853833888888889,0.4293801666666667,0.015,0.03,0.3670207925818183,0.6329792108048092,0.4898947374313138,0.510105264140293
2024-06-05,0.385362,0.43284085,0.015,0.025,0.297008319136997,0.7029916867613792,0.3705193645467883,0.6294806521189841
2024-06-06,0.38890025,0.43330185,0.02,0.03,0.3206612825849834,0.6793387197718328,0.4635158012742582,0.5364842077960139
2024-06-07,0.3909183333333332,0.4294507777777777,0.02,0.03,0.311887524072446,0.6881124760005989,0.4415308926732112,0.5584691070879881
2024-06-08,0.3909785555555555,0.4289821666666667,0.015,0.03,0.3318234483400981,0.6681765450371636,0.5379210596575457,0.4620789499843822
2024-06-09,0.3922443888888889,0.4299535,0.01,0.025,0.3594730459153652,0.6405269578099251,0.3846861235797405,0.6153138726949692
2024-06-10,0.3929123333333333,0.4297337777777777,0.01,0.02,0.3715462974376148,0.6284537116686503,0.4652066610076211,0.5347933322191238
2024-06-11,0.3919659444444445,0.4287557222222223,0.035,0.025,0.322804337314197,0.6771956622600556,0.4503484882414341,0.5496515220962465
2024-06-12,0.3924732777777777,0.4297196666666666,0.02,0.02,0.3201401836883563,0.6798598101505866,0.4980750164470157,0.501924992463476
2024-06-13,0.3929909444444444,0.4302703333333333,0.01,0.02,0.3876456684536403,0.6123543315463595,0.4818527421189679,0.5181472429798709
2024-06-14,0.3951737,0.4277584499999999,0.01,0.025,0.3871542267501354,0.6128457721322775,0.349882648140192,0.6501173496246337
2024-06-15,0.39497745,0.4275645,0.01,0.02,0.3315783242881298,0.6684216876327992,0.4459070186404621,0.5540929761003045
2024-06-16,0.39501315,0.4281512,0.01,0.02,0.3213616859699998,0.6786383195292383,0.4390825901180505,0.5609174124896527
2024-06-17,0.39658825,0.4258013,0.01,0.02,0.3490278739482164,0.6509721390902996,0.5748089551925659,0.4251910224556923
2024-06-18,0.39710115,0.42559655,0.02,0.02,0.283622973660628,0.7163770417372386,0.5055513924786023,0.4944486021995544
2024-06-19,0.3976158,0.4261108999999999,0.01,0.02,0.3321286814908186,0.6678713222344717,0.5015428334474563,0.4984571725130081
2024-06-20,0.4061630909090909,0.4146908636363636,0.01,0.02,0.2831911839544773,0.7168088257312775,0.4930490851402282,0.5069509173432986
2024-06-21,0.4068182727272726,0.4152955,0.01,0.02,0.2710250287006298,0.7289749681949615,0.6995124816894531,0.3004875183105469
2024-06-22,0.4065757272727273,0.4154260909090909,0.01,0.02,0.3421534840827402,0.6578465130018152,0.4556776963174343,0.5443223118782043
2024-06-23,0.4081480454545454,0.4165900909090909,0.01,0.02,0.3472068147057194,0.6527931823344251,0.2739189863204956,0.7260810136795044
2024-06-24,0.4071043636363636,0.4180028181818181,0.01,0.02,0.3522601453286986,0.647739851667035,0.4729409103592237,0.5270590747396151
2024-06-25,0.4074835454545455,0.417904,0.01,0.025,0.2608882184140383,0.7391117860873541,0.4483019463144816,0.5516980634285853
2024-06-26,0.4047600833333333,0.421498,0.01,0.025,0.3347918838262557,0.665208119978296,0.4502496030181646,0.5497503954503271
2024-06-27,0.4042604999999999,0.4220765,0.025,0.04,0.2280897969762101,0.7719102104504904,0.4469682603246636,0.5530317472293973
2024-06-28,0.401743875,0.4246280833333333,0.17,0.14,0.3429192845516049,0.6570807151059842,0.4192363354853435,0.5807636645625343
2024-06-29,0.3994994166666666,0.426358,0.055,0.04,0.3316057881357752,0.6683942117925846,0.3257523893771119,0.674247607213896
2024-06-30,0.3990444999999999,0.4281702083333333,0.045,0.03,0.3253155759740792,0.6746844231672243,0.3555835196898589,0.6444164781620906
