,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4
10,"[('harris', 0.3224365563207205), ('president', 0.03281536198008589), ('saying', 0.030757050460537658), ('worried', 0.027027424797680978), ('cant', 0.026188891164660374)]","[('would', 0.058170557484756295), ('think', 0.03613161383544494), ('people', 0.031896578060288394), ('president', 0.026270514691770133), ('country', 0.02387718306151906)]","[('like', 0.011329256648990055), ('people', 0.009060082543456149), ('walz', 0.007720353785705726), ('get', 0.007287394859901243), ('dont', 0.0072757337602009035)]","[('harris', 0.06519522359297313), ('win', 0.04703380266066123), ('vote', 0.04651636027081703), ('going', 0.03437195152785849), ('election', 0.033477749921454435)]","[('biden', 0.03541153806261856), ('kamala', 0.017839141168401757), ('debate', 0.015440183269158735), ('party', 0.012341768348190597), ('think', 0.010686945706468142)]"
11,"[('harris', 0.3718920308891826), ('saying', 0.030538799699034884), ('like', 0.027229832414864444), ('president', 0.02582919141433159), ('cant', 0.022856675117352537)]","[('would', 0.07135105295657163), ('people', 0.038418484725168615), ('think', 0.03404046248910659), ('president', 0.026277117648272303), ('fascist', 0.02325821930761157)]","[('like', 0.012026308825341265), ('people', 0.01184475174042201), ('think', 0.00972083672578301), ('dont', 0.008264901374771403), ('get', 0.007967451608437395)]","[('harris', 0.08062418119565205), ('poll', 0.04597171259491643), ('win', 0.04400520551720267), ('vote', 0.034645810513192314), ('election', 0.03308564310684767)]","[('biden', 0.0284044298946379), ('kamala', 0.020922361659995836), ('debate', 0.019293492065921437), ('think', 0.01331613563461181), ('joe', 0.01095180231094445)]"
12,"[('harris', 0.3308681492687979), ('saying', 0.034022579285732046), ('like', 0.03050618581471405), ('president', 0.02295272652617133), ('cant', 0.02289090558352418)]","[('would', 0.09238439790284401), ('people', 0.0376117727949069), ('president', 0.030897952279908564), ('think', 0.02888526602503744), ('kamala', 0.019854712996788784)]","[('people', 0.015057463453244742), ('like', 0.013079283271525216), ('think', 0.010300473688463957), ('dont', 0.009147771080446373), ('kamala', 0.00876881252079436)]","[('harris', 0.07545960226508018), ('poll', 0.05023599157032894), ('win', 0.04553690593776589), ('vote', 0.03432078231840207), ('election', 0.031161652886715234)]","[('biden', 0.028252368753953684), ('kamala', 0.024450020157730675), ('joe', 0.017812185139815587), ('debate', 0.017094025709319307), ('think', 0.01275076253062082)]"
13,"[('harris', 0.2903351110957978), ('saying', 0.03910741953340524), ('like', 0.03201292523461472), ('cant', 0.02308850368860266), ('worried', 0.02150819072229541)]","[('would', 0.07997881266800953), ('president', 0.04320842672949563), ('people', 0.04111487458293025), ('think', 0.02633816303737734), ('kamala', 0.02319657755496938)]","[('people', 0.013118362634572464), ('like', 0.01192196048855268), ('biden', 0.010726261701849696), ('kamala', 0.009591988281478059), ('think', 0.008960284894143867)]","[('poll', 0.06656461776465875), ('harris', 0.0619051086661238), ('win', 0.055526111254636704), ('election', 0.032506500404365556), ('vote', 0.03211491727453096)]","[('biden', 0.025542988411428488), ('debate', 0.021357074236180357), ('kamala', 0.019890533460832197), ('joe', 0.01381233525550481), ('candidate', 0.013635125336177056)]"
14,"[('harris', 0.3168340619565574), ('saying', 0.04044943626693555), ('like', 0.028116004914602397), ('cant', 0.01987160078236756), ('worried', 0.01946585190689483)]","[('would', 0.06054670875514071), ('president', 0.04757071584038282), ('people', 0.034193863423597974), ('think', 0.027494313913681578), ('kamala', 0.02374598129929136)]","[('people', 0.014679548034934606), ('like', 0.011825135755409517), ('vote', 0.011172757809558039), ('biden', 0.00854026055405279), ('dont', 0.008475313752117674)]","[('win', 0.07786749253443512), ('harris', 0.06704226771621015), ('poll', 0.062311941732033325), ('election', 0.0391372707586489), ('going', 0.028630687229164117)]","[('debate', 0.030630996699826007), ('kamala', 0.02176814017523334), ('biden', 0.020503347329782082), ('point', 0.01096597124873637), ('even', 0.010735857658278598)]"
15,"[('harris', 0.3001552922402211), ('saying', 0.04264757572228721), ('like', 0.027342755620583307), ('keep', 0.02294785730781562), ('enough', 0.020197673470988525)]","[('would', 0.044883015446228726), ('president', 0.043039033485549945), ('people', 0.033550589335672946), ('think', 0.02741073533550854), ('kamala', 0.025963203133773198)]","[('like', 0.015919173895988823), ('people', 0.013242236097906845), ('dont', 0.009409801095701309), ('vote', 0.009114118579332831), ('he', 0.009050128623704351)]","[('harris', 0.07582167136113892), ('win', 0.06827315505731313), ('poll', 0.06036897729356089), ('election', 0.03966634685018841), ('vote', 0.02960660720405136)]","[('kamala', 0.030574765259246964), ('debate', 0.02594794271052866), ('biden', 0.017305433029867586), ('even', 0.010975626859100302), ('election', 0.009817215657195804)]"
16,"[('harris', 0.23494091197214717), ('saying', 0.048503315620826465), ('keep', 0.02627965173612637), ('enough', 0.025974881873481778), ('like', 0.024821378568026947)]","[('president', 0.04647549675875651), ('would', 0.04046660284124239), ('people', 0.03188061030429866), ('think', 0.027704688774868397), ('vance', 0.02618578482476148)]","[('like', 0.01650477076139254), ('people', 0.012977755783473034), ('dont', 0.011548514257269571), ('democrat', 0.010356636876773634), ('vote', 0.008910618926487679)]","[('harris', 0.08041662784088836), ('win', 0.07289266432880538), ('poll', 0.06934502104739225), ('election', 0.041262000283981415), ('vote', 0.03246606548282501)]","[('debate', 0.021480763306817193), ('kamala', 0.019640390007782404), ('biden', 0.013576126473955447), ('one', 0.012886391247269549), ('election', 0.012850384808472474)]"
17,"[('harris', 0.2273361907099982), ('saying', 0.04103726004153006), ('enough', 0.03190342322476665), ('keep', 0.02714328133606889), ('voter', 0.022914776073814744)]","[('president', 0.05874828607839388), ('would', 0.04179160657326342), ('vance', 0.03671086015483915), ('people', 0.027635635674206623), ('think', 0.025452784673280063)]","[('like', 0.016257742145608427), ('dont', 0.010771210581109402), ('would', 0.010187247403945112), ('people', 0.009539830612544214), ('republican', 0.009436466692483547)]","[('harris', 0.09381782343918373), ('win', 0.07694422064481066), ('poll', 0.05528263686450055), ('election', 0.04420966980407574), ('vote', 0.032475871593306414)]","[('kamala', 0.01690403015349993), ('debate', 0.015379947152568267), ('election', 0.013434388549869666), ('biden', 0.012343759646793798), ('one', 0.011708730348205248)]"
18,"[('harris', 0.19959555849457655), ('enough', 0.04009277657720375), ('saying', 0.03641788310582333), ('keep', 0.03092900213266938), ('stein', 0.027477790799246372)]","[('president', 0.057510336245305674), ('vance', 0.05381475192939674), ('would', 0.03772830503933228), ('think', 0.02547662856404653), ('people', 0.022919244812388974)]","[('like', 0.01600765417468804), ('he', 0.011261894939966979), ('would', 0.009641774294638689), ('dont', 0.009626577643102046), ('people', 0.00927813366213626)]","[('harris', 0.09970580326132508), ('win', 0.08294246814421768), ('poll', 0.05622412166159443), ('election', 0.043852168392593385), ('vote', 0.029232835680223068)]","[('kamala', 0.01735882771884501), ('debate', 0.01643901980408826), ('biden', 0.012551494133254605), ('election', 0.011424471750587643), ('voting', 0.010918620030796201)]"
19,"[('harris', 0.1616213155974906), ('stein', 0.043232611467247224), ('enough', 0.039375507448569984), ('jill', 0.0372481713840966), ('keep', 0.034507450895397675)]","[('president', 0.05193254299394032), ('would', 0.039805843377700684), ('vance', 0.02907511979303442), ('think', 0.022506647067348083), ('people', 0.021690020920939038)]","[('would', 0.010898466636791403), ('like', 0.010895166332239385), ('people', 0.010701701993736473), ('vote', 0.010384079992308776), ('republican', 0.009074013384074719)]","[('win', 0.09527818037345119), ('harris', 0.08474993820087855), ('poll', 0.06740005437112848), ('election', 0.04559062469874622), ('vote', 0.027635822122749717)]","[('kamala', 0.01641588147529546), ('voting', 0.013346063573687127), ('party', 0.012847135337515934), ('biden', 0.012486926576637927), ('election', 0.011125562036586741)]"
20,"[('harris', 0.1244262162337365), ('keep', 0.03832069388623512), ('enough', 0.03426992277199455), ('saying', 0.032246846621918845), ('stein', 0.03167457959258113)]","[('president', 0.040768096571806564), ('would', 0.034787785257428226), ('people', 0.020283603714953604), ('think', 0.019049336714702398), ('vance', 0.01830884297734242)]","[('like', 0.01107200716215176), ('people', 0.011003279068149692), ('dont', 0.01027297432453657), ('would', 0.00936490496928475), ('vote', 0.008958777142372336)]","[('win', 0.07347127842454441), ('poll', 0.06655770790264609), ('harris', 0.06308925595356397), ('election', 0.05287095585874573), ('kamala', 0.028125288023805387)]","[('kamala', 0.018091118895374975), ('biden', 0.0173977382008145), ('voting', 0.01205850733999038), ('state', 0.011870846103804806), ('harris', 0.010520105671371918)]"
21,"[('harris', 0.12694347247379856), ('saying', 0.03428371975128602), ('keep', 0.03191769304627497), ('enough', 0.031157870930278588), ('voter', 0.026503488158005056)]","[('would', 0.03323344385215664), ('president', 0.027673591856014347), ('think', 0.018123425171186543), ('people', 0.01798516534415257), ('say', 0.017950914112936398)]","[('would', 0.013440397470048682), ('people', 0.012846490563749199), ('vote', 0.010757275023381939), ('like', 0.010755648362699407), ('dont', 0.009071967639556191)]","[('win', 0.06327695178602158), ('poll', 0.06311985161590841), ('harris', 0.05490785049319912), ('election', 0.05192642547859419), ('kamala', 0.03369537672516423)]","[('biden', 0.021750713000501718), ('joe', 0.015988105232927846), ('kamala', 0.01587767562391284), ('harris', 0.013233446919619729), ('state', 0.013187248853051808)]"
22,"[('harris', 0.1127337641817506), ('saying', 0.033025008972848956), ('keep', 0.030548547905083243), ('enough', 0.0295033984881029), ('voter', 0.025675277022966975)]","[('would', 0.03032608041878386), ('president', 0.01952968385048086), ('people', 0.01716284577185876), ('think', 0.01700150850301182), ('say', 0.016656616928796344)]","[('vote', 0.014278647649345588), ('people', 0.01333998469531398), ('like', 0.012752571303398354), ('dont', 0.011202159337376887), ('would', 0.01107306236413821)]","[('harris', 0.06626127404338789), ('poll', 0.06263036735869397), ('win', 0.04836564203316698), ('election', 0.04458027112376987), ('kamala', 0.03299893423987248)]","[('biden', 0.022467802130585832), ('harris', 0.01974847919250285), ('state', 0.014951082983707493), ('kamala', 0.01429709014821792), ('joe', 0.011760009363834518)]"
23,"[('harris', 0.08674572639820279), ('saying', 0.03278959503271812), ('like', 0.0293980603596972), ('enough', 0.028086259850468826), ('voter', 0.027257056535515575)]","[('would', 0.030942047065304863), ('people', 0.01836060235151252), ('think', 0.017770355692908607), ('many', 0.016090847843621137), ('president', 0.016042794670817827)]","[('vote', 0.01932099796358492), ('like', 0.016567290660843736), ('dont', 0.014104725789709319), ('time', 0.01222355212183296), ('people', 0.012212406034331179)]","[('harris', 0.06512619089563662), ('election', 0.040875913448892076), ('win', 0.04071257113744757), ('poll', 0.04020746369683155), ('kamala', 0.023515152674818258)]","[('biden', 0.023573467550420873), ('harris', 0.020685356317106482), ('state', 0.017949865742754003), ('iowa', 0.016223400740864383), ('even', 0.01408946857432069)]"
